阿	aaf
峇	basq
矲	bass
罷	bast
鼥	basu
坝	bat
壩	batq
垻	bats
芭	bau
茇	bauc
菝	baup
仈	bavq
玐	bawq
覇	baxq
鲅	bay
叐	bayq
犮	bays
羓	bayt
詙	bayu
鮁	bayv
鮊	bayw
鲃	bayx
鲌	bayy
跋	baz
跁	bazq
报	bca
抱	bcap
包	bcb
龅	bcbc
勹	bcbd
宝	bcbp
寶	bcbq
勽	bcbs
宲	bcbt
寚	bcbu
寳	bcbv
賲	bcbw
髱	bcbx
忁	bccq
蚫	bccs
齙	bcct
剥	bcd
剝	bcdq
瀑	bce
緥	bcfq
骲	bcgq
炮	bch
煲	bchc
爆	bchp
虣	bchq
枹	bciq
鉋	bcjq
鑤	bcjs
铇	bcjt
褒	bck
褓	bckp
笣	bckq
袌	bcks
裦	bckt
襃	bcku
胞	bcl
闁	bcmq
駂	bcms
鸨	bcn
媬	bcnq
犦	bcns
鳵	bcnt
鴇	bcnu
嚗	bcoq
犳	bcqq
暴	bcr
曝	bcrc
雹	bcrp
曓	bcrq
靌	bcrs
饱	bcs
飽	bcsq
飹	bcss
堡	bct
報	bctq
堢	bcts
薄	bcu
葆	bcuc
苞	bcup
菢	bcuq
蕔	bcus
藵	bcut
保	bcv
佨	bcvq
儤	bcvs
珤	bcwq
怉	bcxq
窇	bcxs
鲍	bcy
鮑	bcyq
孢	bcz
趵	bczc
豹	bczp
摆	bda
掰	bdac
捭	bdad
拜	bdap
擺	bdaq
拝	bdas
挀	bdat
白	bdb
败	bdbc
百	bdbp
贁	bdbq
絔	bdfq
庍	bdgq
稗	bdh
柏	bdi
栢	bdiq
兡	bdkq
襬	bdks
竡	bdlq
粨	bdmq
粺	bdms
犤	bdnq
唄	bdoq
猈	bdqq
薭	bduq
佰	bdv
敗	bdwq
韛	bdws
毕	beb
庇	beg
跛	bez
捹	bgaq
撪	bgas
賁	bgbq
蟦	bgcq
奔	bgd
夯	bgdp
夲	bgdq
奙	bgds
泍	bgeq
渀	bges
漰	bget
體	bggq
炃	bghq
本	bgi
栟	bgiq
桳	bgis
楍	bgit
锛	bgj
錛	bgjq
笨	bgk
犇	bgnq
喯	bgoq
畚	bgs
坌	bgt
坋	bgtq
苯	bgu
倴	bgvq
翉	bgyq
逩	bgzq
挷	bhaq
捠	bhas
搒	bhat
蚌	bhc
蚄	bhcq
蛖	bhcs
蜯	bhct
浜	bhe
邦	bhf
绑	bhfp
綁	bhfq
縍	bhfs
邫	bhft
鞤	bhgq
髈	bhgs
稖	bhhq
棒	bhi
梆	bhic
榜	bhip
棓	bhiq
帮	bhj
镑	bhjp
幫	bhjq
鎊	bhjs
幇	bhjt
幚	bhju
膀	bhl
磅	bhp
牓	bhpq
硥	bhps
垹	bhtq
塝	bhts
蒡	bhu
傍	bhv
玤	bhwq
谤	bhy
謗	bhyq
艕	bhzq
比	bib
鼻	bibc
毙	bibd
痹	bibe
匕	bibf
贲	bibg
毖	bibh
贔	bibo
毕	bibp
髲	bibq
赑	bibs
疕	bibt
疪	bibu
痺	bibv
皀	bibw
皕	bibx
貱	biby
賁	bibz
彼	bic
蜌	bicq
螕	bics
夶	bidq
奰	bids
豍	bidt
濞	bie
滗	biep
沘	bieq
湢	bies
滭	biet
潷	bieu
鄙	bif
邲	bifo
陛	bifp
鄪	bifq
鄨	bifs
旇	bift
紕	bifu
紴	bifv
綼	bifw
縪	bifx
繴	bify
聛	bifz
弊	big
庇	bigc
髀	bigd
庳	bige
弼	bigp
廦	bigq
弻	bigs
彃	bigt
鞞	bigu
鞸	bigv
魓	bigw
秕	bih
煏	bihq
熚	bihs
稫	biht
朼	biiq
柀	biis
柲	biit
梐	biiu
楅	biiv
榌	biiw
币	bij
铋	bijp
幣	bijq
幤	bijs
觱	bijt
鉍	biju
鎞	bijv
鏎	bijw
鐴	bijx
笔	bik
襞	bikc
篦	bikd
筚	bike
箅	bikf
裨	bikp
筆	bikq
笓	biks
箄	bikt
箆	biku
篳	bikv
袐	bikw
襣	bikx
臂	bil
肶	bilq
胇	bils
腷	bilt
闭	bim
閈	biml
閇	bimm
粊	bimn
粃	bimo
睥	bimp
閉	bimq
鼊	bims
驆	bimt
駜	bimu
闬	bimv
閟	bimw
毞	bimx
毴	bimy
睤	bimz
婢	bin
嬖	binc
妣	binp
妼	binq
娝	bins
鵖	bint
鶝	binu
鷝	binv
鷩	binw
吡	bio
哔	biop
咇	bioq
啚	bios
嗶	biot
碧	bip
屄	bipq
狴	biq
獘	biqq
獙	biqs
朇	birq
崥	bisq
祕	biss
禆	bist
罼	bisu
飶	bisv
饆	bisw
壁	bit
畀	bitp
畢	bitq
坒	bits
堛	bitt
畁	bitu
畐	bitv
蔽	biu
蓖	biuc
芘	biud
荜	biue
薜	biuf
萆	biug
荸	biup
苾	biuq
萞	bius
蓽	biut
俾	biv
佊	bivq
佖	bivs
偪	bivt
璧	biw
敝	biwp
斃	biwq
珌	biws
韠	biwt
必	bix
愎	bixc
辟	bixp
怭	bixq
怶	bixs
愊	bixt
馝	bixu
翍	biyq
詖	biys
诐	biyt
鮅	biyu
鰏	biyv
鲾	biyw
避	biz
舭	bizc
跸	bizd
逼	bizp
貏	bizq
蹕	bizs
躃	bizt
躄	bizu
迊	bizv
抃	bjaq
揙	bjas
贬	bjb
貶	bjbq
疺	bjbs
蝙	bjc
徧	bjcq
釆	bjcs
卞	bjd
汴	bje
汳	bjeq
编	bjf
缏	bjfc
匾	bjfp
編	bjfq
緶	bjfs
鞭	bjg
鞕	bjgq
扁	bjh
煸	bjhp
炞	bjhq
稨	bjhs
覍	bjjq
覵	bjjs
鍽	bjjt
笾	bjk
褊	bjkp
箯	bjkq
籓	bjks
籩	bjkt
糄	bjmq
閞	bjms
鴘	bjnq
鶣	bjns
砭	bjp
碥	bjpp
牑	bjpq
猵	bjqq
獱	bjqs
昪	bjrq
弁	bjs
峅	bjsq
苄	bju
萹	bjuq
藊	bjus
便	bjv
玣	bjwq
甂	bjws
辩	bjx
辫	bjxc
窆	bjxd
忭	bjxe
辨	bjxp
辮	bjxq
辯	bjxs
惼	bjxt
辡	bjxu
辧	bjxv
变	bjy
鳊	bjyp
變	bjyq
諚	bjys
鯾	bjyt
鯿	bjyu
边	bjz
遍	bjzp
邊	bjzq
変	bjzs
臱	bjzt
艑	bjzu
辺	bjzv
邉	bjzw
兺	bkbq
搬	bla
拌	blac
扳	blad
扮	blap
搫	blaq
半	blb
癍	blbc
瘢	blbp
蝂	blcq
螁	blcs
螌	blct
湴	bleq
绊	blf
阪	blfp
絆	blfq
瓣	blg
靽	blgq
秚	blhq
板	bli
柈	bliq
钣	blj
鈑	bljq
鉡	bljs
褩	blkq
办	bll
朌	bllq
肦	blls
粄	blmq
闆	blms
姅	blnq
鳻	blns
版	blp
昄	blrq
岅	blsq
坂	blt
坢	bltq
伴	blv
班	blw
斑	blwp
攽	blwq
斒	blws
瓪	blwt
辦	blxq
怑	blxs
辬	blxt
颁	bly
頒	blyq
魬	blys
般	blz
舨	blzp
跘	blzq
摽	bmaq
瘭	bmb
贆	bmbq
髟	bmbs
淲	bmeq
滮	bmes
瀌	bmet
飚	bmf
飑	bmfc
飙	bmfp
颩	bmfq
颮	bmfs
颷	bmft
飆	bmfu
飇	bmfv
飈	bmfw
飊	bmfx
熛	bmhq
爂	bmhs
穮	bmht
灬	bmhu
标	bmi
標	bmiq
檦	bmis
镖	bmj
镳	bmjp
幖	bmjq
鋲	bmjs
錶	bmjt
鏢	bmju
鑣	bmjv
表	bmk
裱	bmkp
篻	bmkq
褾	bmks
膘	bml
脿	bmlq
膔	bmls
臕	bmlt
麃	bmlu
骠	bmm
驃	bmmq
驫	bmms
骉	bmmt
婊	bmn
嫑	bmnq
磦	bmpq
猋	bmqq
彪	bms
墂	bmtq
蔈	bmuq
藨	bmus
俵	bmvq
僄	bmvs
儦	bmvt
鳔	bmy
諘	bmyq
謤	bmys
鰾	bmyt
播	boa
搏	boac
擘	boad
拨	boap
撥	boaq
挬	boas
卜	bob
癶	bobq
皪	bobs
彴	bocq
蚾	bocs
剥	bod
剝	bodq
殕	bods
波	boe
渤	boec
泊	boep
浡	boeq
淿	boes
溊	boet
紴	bofq
缽	bofs
郣	boft
瓝	bogq
瓟	bogs
髆	bogt
髉	bogu
煿	bohq
秡	bohs
穛	boht
柏	boi
檗	boip
柭	boiq
栢	bois
桲	boit
榑	boiu
檘	boiv
欂	boiw
钵	boj
帛	bojc
钹	bojd
铂	bojp
鈸	bojq
鉑	bojs
鉢	bojt
鋍	boju
鎛	bojv
鑮	bojw
镈	bojx
簸	bok
簙	bokq
袯	boks
袹	bokt
襏	boku
襮	bokv
勃	bol
膊	bolc
脖	bolp
肑	bolq
胉	bols
驳	bom
駁	bomq
盋	boms
糪	bomt
駮	bomu
驋	bomv
鹁	bon
鵓	bonq
啵	boo
哱	booq
噃	boos
嚗	boot
礴	bop
牔	bopq
砵	bops
碆	bopt
磻	bopu
礡	bopv
狛	boqq
猼	boqs
博	bos
饽	bosp
嶓	bosq
餑	boss
餺	bost
馎	bosu
亳	bot
壆	botq
薄	bou
菠	boup
苩	bouq
萡	bous
葧	bout
蔔	bouu
蘗	bouv
伯	bov
仢	bovq
侼	bovs
僠	bovt
僰	bovu
玻	bow
愽	boxq
懪	boxs
馛	boxt
馞	boxu
誖	boyq
謈	boys
譒	boyt
鮊	boyu
鱍	boyv
鲌	boyw
舶	boz
跛	bozc
踣	bozd
箔	bozp
孹	bozq
艊	bozs
蹳	bozt
揹	bpaq
北	bpb
贝	bpbp
貝	bpbq
辈	bpc
輩	bpcq
蛽	bpcs
軰	bpct
陂	bpf
邶	bpfp
郥	bpfq
鄁	bpfs
鞴	bpg
鞁	bpgq
鞞	bpgs
骳	bpgt
焙	bph
杯	bpi
杮	bpiq
柸	bpis
桮	bpit
梖	bpiu
棑	bpiv
棓	bpiw
椑	bpix
钡	bpj
鐾	bpjp
鉳	bpjq
鋇	bpjs
被	bpk
褙	bpkp
箄	bpkq
背	bpl
盃	bpmq
糒	bpms
鹎	bpn
牬	bpnq
犕	bpns
鵯	bpnt
呗	bpo
唄	bpoq
碑	bpp
碚	bppp
狈	bpq
狽	bpqq
昁	bprq
卑	bps
孛	bpsp
禙	bpsq
蓓	bpu
苝	bpuq
藣	bpus
倍	bpv
備	bpvq
俻	bpvs
偝	bpvt
偹	bpvu
僃	bpvv
珼	bpwq
琲	bpws
悲	bpx
悖	bpxc
惫	bpxp
憊	bpxq
愂	bpxs
誖	bpyq
諀	bpys
备	bpz
瘪	btb
癟	btbq
徶	btcq
蛂	btcs
蟞	btct
别	btd
別	btdq
彆	btgq
龞	btgs
柭	btiq
柲	btis
襒	btkq
鼈	btmq
莂	btuq
虌	btus
憋	btx
鳖	bty
鱉	btyq
蹩	btz
捕	bua
抪	buaq
捗	buas
捬	buat
卜	bub
轐	bucq
部	buf
巭	bufq
郶	bufs
庯	bugq
廍	bugs
不	buh
柨	buiq
布	buj
钸	bujc
钚	bujp
鈈	bujq
鈽	bujs
錻	bujt
补	buk
簿	bukp
補	bukq
箁	buks
篰	bukt
勏	bulq
婄	bunq
鳪	buns
鵏	bunt
鸔	bunu
哺	buo
卟	buop
吥	buoq
咘	buos
醭	buq
晡	bur
峬	busq
餔	buss
餢	bust
埔	but
埠	butp
埗	butq
荹	buuq
蔀	buus
蔔	buut
佈	buvq
瓿	buw
怖	bux
悑	buxq
誧	buyq
鯆	buys
步	buz
逋	buzp
歨	buzq
歩	buzs
踄	buzt
摈	bxa
擯	bxaq
宾	bxb
鬓	bxbp
賓	bxbq
鬢	bxbs
賔	bxbt
髩	bxbu
鬂	bxbv
蠙	bxcq
殡	bxd
殯	bxdq
滨	bxe
濒	bxep
濱	bxeq
瀕	bxes
汃	bxet
濵	bxeu
缤	bxf
繽	bxfq
邠	bxfs
髌	bxg
髕	bxgq
虨	bxhq
槟	bxi
梹	bxiq
椕	bxis
檳	bxit
镔	bxj
鑌	bxjq
膑	bxl
臏	bxlq
砏	bxpq
豩	bxqq
霦	bxrq
彬	bxs
豳	bxsp
傧	bxv
儐	bxvq
斌	bxw
玢	bxwp
瑸	bxwq
璸	bxws
頻	bxyq
顮	bxys
摒	bya
抦	byaq
掤	byas
并	byb
兵	bybc
冰	bybd
病	bybp
並	bybq
寎	bybs
冫	bybt
蛃	bycq
氷	byeq
邴	byf
絣	byfq
綆	byfs
陃	byft
幷	bygq
庰	bygs
鞆	bygt
鞞	bygu
鞸	bygv
丙	byh
秉	byhc
炳	byhp
稟	byhq
柄	byi
槟	byip
栟	byiq
栤	byis
梹	byit
棅	byiu
檳	byiv
鈵	byjq
鉼	byjs
竝	bylq
眪	bymq
屏	byp
屛	bypq
昞	byrq
昺	byrs
靐	byrt
饼	bys
禀	bysp
餅	bysq
餠	byss
垪	bytq
苪	byuq
仌	byvq
併	byvs
倂	byvt
偋	byvu
傡	byvv
琕	bywq
怲	byxq
窉	byxs
誁	byyq
鮩	byys
揼	bzaq
痭	bzbq
蚌	bzc
蜯	bzcq
奟	bzdq
泵	bze
绷	bzf
綳	bzfq
絣	bzfs
繃	bzft
鞛	bzgq
鏰	bzjq
镚	bzjs
閍	bzmq
嘣	bzo
嗙	bzoq
崩	bzs
嵭	bzsq
祊	bzss
埄	bztq
埲	bzts
塴	bztt
菶	bzuq
伻	bzvq
甏	bzw
琣	bzwq
琫	bzws
甭	bzy
甮	bzyq
蹦	bzz
迸	bzzp
跰	bzzq
逬	bzzs
擦	caa
攃	caaq
嚓	cao
囃	caoq
礤	cap
礸	capq
遪	cazq
操	cca
扷	ccaq
抝	ccas
摮	ccat
撡	ccau
擙	ccav
镺	ccbq
螬	ccc
厫	cccq
軪	cccs
屮	ccct
奡	ccdq
奧	ccds
漕	cce
泑	cceq
滶	cces
澚	ccet
郩	ccfq
鄵	ccfs
隞	ccft
隩	ccfu
鼜	ccgq
熝	cchq
爊	cchs
槽	cci
柪	cciq
梎	ccis
鏕	ccjq
鏪	ccjs
襖	cckq
褿	ccks
襙	cckt
肏	cclq
糙	ccm
眑	ccmq
騲	ccms
驁	ccmt
鼇	ccmu
媼	ccnq
嫯	ccns
鷔	ccnt
嘈	cco
嗸	ccoq
囂	ccos
磝	ccpq
獓	ccqq
曹	ccr
曺	ccrq
岰	ccsq
嶅	ccss
嶆	ccst
嶴	ccsu
垇	cctq
墺	ccts
墽	cctt
草	ccu
艸	ccuq
芺	ccus
蓸	ccut
蔜	ccuu
艹	ccuv
傮	ccvq
璈	ccwq
愺	ccxq
慅	ccxs
慒	ccxt
慠	ccxu
懆	ccxv
翶	ccyq
翺	ccys
謷	ccyt
謸	ccyu
鰲	ccyv
艚	ccz
才	cda
採	cdaq
扐	cdas
揌	cdat
财	cdb
財	cdbq
宷	cdbs
寀	cdbt
采	cdc
綵	cdfq
縩	cdfs
纔	cdft
材	cdi
棌	cdiq
裁	cdk
睬	cdm
婇	cdnq
啋	cdoq
猜	cdq
彩	cds
埰	cdtq
菜	cdu
蔡	cdup
倸	cdvq
偲	cdvs
踩	cdz
跴	cdzq
拺	ceaq
厕	cec
厠	cecq
夨	cedq
测	cee
測	ceeq
廁	cegq
策	cek
笧	cekq
筞	ceks
筴	cekt
箣	ceku
簎	cekv
粣	cemq
册	cep
冊	cetq
畟	cets
荝	ceuq
萗	ceus
萴	ceut
蓛	ceuu
侧	cev
側	cevq
敇	cewq
恻	cex
惻	cexq
憡	cexs
凑	cfb
辏	cfc
輳	cfcq
湊	cfeq
楱	cfi
腠	cfl
傶	cfvq
涔	cge
汵	cgeq
穇	cghq
梣	cgiq
笒	cgkq
篸	cgks
参	cgs
岑	cgsp
參	cgsq
叄	cgss
叅	cgst
嵾	cgsu
埁	cgtq
凔	chbq
賶	chbs
螥	chcq
沧	che
滄	cheq
濸	ches
匨	chfq
鑶	chjq
篬	chkq
鶬	chnq
鸧	chns
獊	chqq
嵢	chsq
藏	chu
苍	chup
蒼	chuq
仓	chv
伧	chvp
倉	chvq
仺	chvs
傖	chvt
玱	chwq
瑲	chws
舱	chz
艙	chzq
赐	cib
疵	cibp
賜	cibq
皉	cibs
蛓	cicq
螆	cics
蠀	cict
齹	cicu
刺	cid
刾	cidq
泚	cieq
濨	cies
絘	cifq
縒	cifs
差	cig
庛	cigq
骴	cigs
髊	cigt
朿	ciiq
柌	ciis
栨	ciit
糍	cim
鹚	cin
嬨	cinq
鴜	cins
鶿	cint
鷀	cinu
呰	cioq
啙	cios
磁	cip
礠	cipq
次	ciq
祠	cis
飺	cisq
餈	ciss
垐	citq
茨	ciu
茈	ciup
茦	ciuq
莿	cius
薋	ciut
佌	civq
佽	civs
偨	civt
瓷	ciw
玼	ciwq
珁	ciws
甆	ciwt
辞	cix
慈	cixp
辭	cixq
辝	cixs
辤	cixt
词	ciy
詞	ciyq
鮆	ciys
此	ciz
雌	cizp
趀	cizq
跐	cizs
拵	ckaq
寸	ckc
刌	ckdq
澊	ckeq
邨	ckfq
村	cki
竴	cklq
膥	ckls
籿	ckmq
吋	ckoq
皴	ckp
墫	cktq
侟	ckvq
忖	ckx
存	ckz
踆	ckzq
摲	claq
摻	clas
蚕	clc
蠶	clcq
蝅	clcs
蠺	clct
残	cld
殘	cldq
湌	cleq
澯	cles
灿	clh
黪	clhp
燦	clhq
爘	clhs
穇	clht
黲	clhu
鏒	cljq
篸	clkq
粲	clm
骖	clmp
驂	clmq
嬠	clnq
喰	cloq
嘇	clos
囋	clot
孱	clp
朁	clrq
参	cls
餐	clsp
參	clsq
叄	clss
叅	clst
飡	clsu
飱	clsv
薒	cluq
傪	clvq
儏	clvs
璨	clw
惨	clx
惭	clxp
慘	clxq
慚	clxs
慙	clxt
憯	clxu
謲	clyq
措	coa
搓	coac
撮	coad
挫	coap
瘥	cob
痤	cobp
厝	coc
齹	cocq
剉	codq
剒	cods
縒	cofq
酂	cofs
酇	coft
庴	cogq
虘	cohq
错	coj
锉	cojp
錯	cojq
銼	cojs
鎈	cojt
鹾	col
脞	colp
鹺	colq
睉	comq
磋	cop
醝	coqq
矬	cos
嵯	cosp
嵳	cosq
莝	couq
莡	cous
蒫	cout
蓌	couu
蔖	couv
瑳	cowq
諎	coyq
蹉	coz
夎	cozq
逪	cozs
遳	cozt
攒	cra
撺	crap
攅	craq
攛	cras
攢	crat
殩	crdq
濽	creq
灒	cres
爨	crh
熶	crhq
穳	crhs
櫕	criq
欑	cris
镩	crj
鋑	crjq
鑹	crjs
篡	crk
簒	crkq
汆	crr
巑	crsq
菆	cruq
窜	crx
竄	crxq
窽	crxs
窾	crxt
蹿	crz
躥	crzq
匆	csb
賨	csbq
賩	csbs
従	cscq
徔	cscs
徖	csct
從	cscu
蟌	cscv
淙	cse
漎	cseq
漗	cses
潀	cset
潈	cseu
潨	csev
灇	csew
聪	csf
聰	csfq
繱	csfs
聡	csft
聦	csfu
丛	csh
焧	cshq
熜	cshs
爜	csht
枞	csi
棇	csiq
楤	csis
樅	csit
樬	csiu
樷	csiv
欉	csiw
錝	csjq
鍯	csjs
鏓	csjt
鏦	csju
篵	cskq
骢	csm
瞛	csmq
騘	csms
驄	csmt
婃	csnq
碂	cspq
暰	csrq
葱	csu
苁	csup
蔥	csuq
茐	csus
蓯	csut
藂	csuu
从	csv
囱	csw
璁	cswc
琮	cswp
囪	cswq
瑽	csws
忩	csxq
怱	csxs
悤	csxt
悰	csxu
愡	csxv
慒	csxw
憁	csxx
叢	csyq
誴	csys
謥	csyt
孮	cszq
瘄	cubq
瘯	cubs
徂	cuc
殂	cud
縬	cufq
橻	cuiq
觕	cujq
簇	cuk
脨	culq
麁	culs
麄	cult
麆	culu
麤	culv
粗	cum
鼀	cumq
媨	cunq
噈	cuoq
皻	cupq
醋	cuq
酢	cuqc
猝	cuqp
卒	cus
蔟	cuu
促	cuv
怚	cuxq
憱	cuxs
誎	cuyq
顣	cuys
蹙	cuz
蹴	cuzp
趗	cuzq
趨	cuzs
踧	cuzt
踿	cuzu
蹵	cuzv
摧	cva
瘁	cvb
凗	cvbq
疩	cvbs
皠	cvbt
淬	cve
漼	cveq
濢	cves
紣	cvfq
綷	cvfs
縗	cvft
缞	cvfu
焠	cvhq
熣	cvhs
榱	cvi
椊	cviq
槯	cvis
鏙	cvjq
衰	cvk
襊	cvkq
脆	cvl
脃	cvlq
脺	cvls
膬	cvlt
膵	cvlu
臎	cvlv
粹	cvm
毳	cvmp
粋	cvmq
啐	cvo
啛	cvoq
磪	cvpq
獕	cvqq
崔	cvs
崒	cvsq
嵟	cvss
墔	cvtq
萃	cvu
催	cvv
伜	cvvq
倅	cvvs
璀	cvw
琗	cvwq
悴	cvx
忰	cvxq
慛	cvxs
竁	cvxt
翠	cvy
翆	cvyq
顇	cvys
趡	cvzq
橧	cziq
竲	czlq
驓	czmq
噌	czo
层	czp
層	czpq
曾	czr
曽	czrq
嶒	czsq
蹭	czz
打	daa
搭	daap
撘	daaq
瘩	dab
匒	dabq
蟽	dacq
大	dad
耷	dadp
剳	dadq
沓	dae
汏	daeq
溚	daes
繨	dafq
鞑	dag
靼	dagp
韃	dagq
炟	dahq
鎉	dajq
鎝	dajs
鐽	dajt
答	dak
笪	dakc
褡	dakp
笚	dakq
龖	dalq
龘	dals
眔	damq
妲	dan
嗒	dao
哒	daop
呾	daoq
咑	daos
噠	daot
亣	datq
垯	dats
墶	datt
畗	datu
畣	datv
荅	dauq
荙	daus
薘	daut
囗	daw
怛	dax
憚	daxq
羍	dayq
詚	days
达	daz
達	dazq
跶	dazs
躂	dazt
迏	dazu
迖	dazv
迚	dazw
逹	dazx
捣	dca
搗	dcaq
捯	dcas
擣	dcat
导	dcc
導	dccq
螩	dccs
到	dcd
刀	dcdp
刂	dcdq
纛	dcf
絩	dcfq
陦	dcfs
隝	dcft
隯	dcfu
稻	dch
焘	dchp
燾	dchq
稲	dchs
朷	dciq
梼	dcis
椡	dcit
槝	dciu
檤	dciv
檮	dciw
幬	dcjq
釖	dcjs
箌	dckq
裯	dcks
盗	dcm
盜	dcmq
叨	dco
嘄	dcoq
噵	dcos
氘	dcq
岛	dcs
祷	dcsp
島	dcsq
禱	dcss
嶋	dcst
嶌	dcsu
嶹	dcsv
禂	dcsw
軇	dcsx
壔	dctq
菿	dcuq
倒	dcv
瓙	dcwq
悼	dcx
衜	dcxq
衟	dcxs
翢	dcyq
翿	dcys
魛	dcyt
鱽	dcyu
道	dcz
蹈	dczp
舠	dczq
艔	dczs
辺	dczt
贷	ddb
貣	ddbq
貸	ddbs
待	ddc
蚮	ddcq
蝳	ddcs
軑	ddct
軚	ddcu
軩	ddcv
轪	ddcw
歹	ddd
殆	dddp
歺	dddq
瀻	ddeq
绐	ddf
紿	ddfq
緿	ddfs
戴	ddg
廗	ddgq
黛	ddh
黱	ddhq
柋	ddiq
带	ddj
帶	ddjq
帒	ddjs
帯	ddjt
釱	ddju
袋	ddk
箉	ddkq
簤	ddks
襶	ddkt
隷	ddlq
隸	ddls
駘	ddmq
鴏	ddnq
呆	ddo
呔	ddop
獃	ddqq
曃	ddrq
霴	ddrs
靆	ddrt
岱	dds
埭	ddt
垈	ddtq
代	ddv
傣	ddvp
侢	ddvq
玳	ddw
瑇	ddwq
怠	ddx
懛	ddxq
甙	ddy
叇	ddyq
詒	ddys
逮	ddz
迨	ddzp
艜	ddzq
跢	ddzs
蹛	ddzt
的	deb
德	dec
得	decp
徳	decq
蚮	decs
淂	deeq
棏	deiq
锝	dej
鍀	dejq
脦	delq
嘚	deoq
旳	derq
地	det
恴	dexq
悳	dexs
惪	dext
抖	dfa
痘	dfb
蚪	dfc
斗	dfd
豆	dfdp
鬥	dfdq
剅	dfds
斣	dfdt
鬦	dfdu
鬪	dfdv
鬬	dfdw
鬭	dfdx
兜	dfe
兠	dfeq
浢	dfes
瀆	dfet
都	dff
陡	dffp
郖	dffq
阧	dffs
枓	dfiq
梪	dfis
橷	dfit
钭	dfj
鈄	dfjq
鋀	dfjs
篼	dfk
脰	dflq
毭	dfmq
瞗	dfms
閗	dfmt
闘	dfmu
吋	dfoq
吺	dfos
唗	dfot
唞	dfou
狵	dfqq
酘	dfqs
餖	dfsq
饾	dfss
蔸	dfu
荳	dfuq
乧	dfvq
侸	dfvs
窦	dfx
竇	dfxq
讀	dfyq
逗	dfz
扥	dgaq
扽	dgas
挡	dha
擋	dhaq
攩	dhas
蟷	dhcq
党	dhe
氹	dheq
潒	dhes
澢	dhet
灙	dheu
黨	dhhq
档	dhi
檔	dhiq
欓	dhis
铛	dhj
鐺	dhjq
裆	dhk
筜	dhkq
簜	dhks
簹	dhkt
襠	dhku
盪	dhmq
瞊	dhms
闣	dhmt
婸	dhnq
噹	dhoq
砀	dhp
碭	dhpq
礑	dhps
雼	dhrq
崵	dhsq
嵣	dhss
當	dhtq
圵	dhts
垱	dhtt
場	dhtu
壋	dhtv
